Algo,Flaor,Overall,Bucket 0(0.614),Bucket 1(0.064),Bucket 2(0.045),Bucket 3(0.039),Bucket 4(0.016),Bucket 5(0.029),Bucket 6(0.011),Bucket 7(0.013),Bucket 8(0.009),Bucket 9(0.008),Bucket 10(0.008),Bucket 11(0.013),Bucket 12(0.014),Bucket 13(0.012),Bucket 14(0.01),Bucket 15(0.011)
lr,def,0.83,0.98,0.88,0.83,0.79,0.61,0.63,0.74,0.38,0.33,0.33,0.27,0.2,0.28,0.21,0.18,0.31
svm,def,0.83,0.99,0.86,0.86,0.79,0.53,0.58,0.71,0.48,0.29,0.5,0.17,0.31,0.26,0.28,0.19,0.23
knn,def,0.8,0.98,0.83,0.75,0.67,0.48,0.47,0.6,0.29,0.39,0.31,0.32,0.23,0.05,0.28,0.16,0.27
mlp_sklearn,def,0.83,0.99,0.85,0.82,0.81,0.58,0.55,0.73,0.3,0.36,0.44,0.29,0.24,0.23,0.22,0.15,0.28
rand_for,def,0.71,0.9,0.55,0.51,0.51,0.31,0.29,0.32,0.2,0.1,0.17,0.21,0.27,0.25,0.33,0.16,0.39
dec_tree,def,0.74,0.96,0.68,0.54,0.55,0.37,0.48,0.32,0.21,0.2,0.25,0.13,0.18,0.1,0.05,0.11,0.2
ber_nb,def,0.57,0.79,0.34,0.2,0.21,0.2,0.25,0.14,0.24,0.07,0.15,0.16,0.31,0.13,0.09,0.16,0.16
xtra_tree,def,0.84,0.99,0.87,0.89,0.76,0.61,0.54,0.66,0.44,0.31,0.29,0.27,0.29,0.33,0.3,0.15,0.5
gau_nb,def,0.76,0.93,0.71,0.69,0.66,0.4,0.48,0.53,0.28,0.43,0.13,0.17,0.08,0.16,0.14,0.21,0.3
label_prop,def,0.77,0.94,0.77,0.76,0.66,0.49,0.45,0.35,0.34,0.21,0.48,0.1,0.27,0.06,0.28,0.14,0.35
label_spread,def,0.76,0.95,0.76,0.66,0.62,0.61,0.42,0.47,0.32,0.24,0.28,0.17,0.26,0.08,0.19,0.15,0.27
lda,def,0.83,0.98,0.86,0.84,0.75,0.73,0.45,0.53,0.52,0.42,0.28,0.17,0.19,0.25,0.21,0.28,0.19
ridge_cv,def,0.83,0.98,0.83,0.83,0.82,0.57,0.72,0.77,0.48,0.52,0.42,0.47,0.24,0.34,0.3,0.09,0.46
n_cent,def,0.72,0.88,0.73,0.79,0.55,0.4,0.44,0.5,0.24,0.19,0.29,0.2,0.15,0.1,0.05,0.07,0.13
ridge,def,0.84,0.98,0.86,0.85,0.8,0.64,0.65,0.66,0.53,0.53,0.31,0.45,0.27,0.3,0.26,0.16,0.43
lr,def,0.84,0.98,0.86,0.86,0.72,0.65,0.66,0.76,0.45,0.31,0.47,0.1,0.3,0.29,0.15,0.1,0.3
lr,.3,0.8,0.96,0.82,0.77,0.68,0.41,0.49,0.69,0.52,0.22,0.34,0.27,0.24,0.26,0.26,0.06,0.45
lr,.1,0.75,0.93,0.72,0.64,0.59,0.35,0.49,0.58,0.26,0.16,0.37,0.27,0.22,0.29,0.22,0.18,0.36
lr,.03,0.67,0.88,0.5,0.37,0.36,0.17,0.27,0.18,0.21,0.07,0.37,0.24,0.29,0.18,0.22,0.1,0.48
lr,.01,0.6,0.82,0.38,0.28,0.29,0.18,0.28,0.18,0.23,0.14,0.13,0.25,0.25,0.11,0.07,0.12,0.3
lr,3e-3,0.57,0.79,0.32,0.23,0.26,0.18,0.3,0.15,0.17,0.11,0.05,0.17,0.22,0.02,0.09,0.07,0.13
lr,1e-3,0.57,0.79,0.33,0.21,0.25,0.24,0.24,0.12,0.24,0.03,0.19,0.12,0.24,0.02,0.1,0.01,0.1
lr,3e-4,0.41,0.58,0.1,0.11,0.19,0.06,0.07,0.12,0.18,0.05,0.17,0.28,0.26,0.03,0.07,0.03,0.13
lr,1e-4,0.41,0.59,0.13,0.06,0.17,0.12,0.21,0.11,0.15,0.02,0.07,0.07,0.24,0.06,0.04,0.01,0.08
lr,3e-5,0.41,0.59,0.09,0.05,0.23,0.07,0.15,0.16,0.21,0.03,0.12,0.05,0.19,0.05,0.07,0.07,0.07
lr,1e-5,0.39,0.57,0.09,0.07,0.15,0.06,0.19,0.13,0.12,0.02,0.09,0.14,0.23,0.11,0.15,0.09,0.11
lr,3e-6,0.4,0.57,0.13,0.11,0.16,0.05,0.13,0.15,0.16,0.06,0.14,0.08,0.3,0.08,0.08,0.01,0.06
lr,1e-6,0.39,0.57,0.1,0.07,0.17,0.05,0.07,0.18,0.18,0.01,0.11,0.13,0.23,0.05,0.11,0.08,0.16
xtra_tree,2g4,0.81,0.99,0.81,0.8,0.68,0.52,0.42,0.35,0.31,0.36,0.2,0.26,0.15,0.35,0.24,0.16,0.38
xtra_tree,2e4,0.82,0.98,0.87,0.79,0.71,0.61,0.48,0.5,0.35,0.33,0.29,0.29,0.19,0.25,0.29,0.23,0.35
xtra_tree,2g8,0.84,0.99,0.89,0.87,0.76,0.54,0.52,0.67,0.41,0.4,0.43,0.23,0.24,0.33,0.34,0.19,0.65
xtra_tree,2e8,0.85,0.99,0.91,0.86,0.79,0.67,0.54,0.59,0.33,0.42,0.35,0.33,0.23,0.26,0.25,0.3,0.6
xtra_tree,2g9,0.85,0.99,0.87,0.87,0.77,0.55,0.56,0.78,0.28,0.37,0.41,0.22,0.21,0.28,0.39,0.2,0.41
xtra_tree,2e9,0.85,0.99,0.92,0.88,0.78,0.62,0.53,0.65,0.37,0.28,0.53,0.35,0.29,0.34,0.29,0.17,0.57
xtra_tree,g10,0.84,0.99,0.9,0.9,0.82,0.62,0.49,0.56,0.45,0.41,0.42,0.3,0.21,0.4,0.3,0.23,0.58
xtra_tree,e10,0.85,0.99,0.88,0.86,0.85,0.53,0.51,0.64,0.43,0.26,0.53,0.21,0.26,0.36,0.39,0.18,0.59
xtra_tree,g11,0.85,0.99,0.88,0.86,0.78,0.67,0.57,0.65,0.35,0.41,0.47,0.22,0.22,0.32,0.37,0.2,0.57
xtra_tree,e11,0.85,0.99,0.87,0.87,0.83,0.57,0.45,0.71,0.4,0.34,0.43,0.29,0.25,0.32,0.33,0.13,0.65
xtra_tree,g12,0.85,0.99,0.91,0.85,0.77,0.6,0.55,0.75,0.36,0.36,0.33,0.36,0.27,0.42,0.34,0.27,0.56
xtra_tree,e12,0.86,0.99,0.9,0.84,0.82,0.68,0.59,0.56,0.49,0.33,0.49,0.22,0.29,0.39,0.35,0.24,0.65